id,code,slug,name,category,price,specifications_text,specifications_json,images,webp_images
lf-0407,LF0407,lf-0407-dual-seating-desk,Dual Seating Desk,Middle & High Classes,11990,details: Dimensions With Adjustable Height & Materials | Desk: | Chair: | L36 × W36 x H34-44 cm | L110 × W40 × H60-75 cm | H 60 / 63 / 66 / 69 / 73 / 75 cm | H 34 / 36 / 38 / 40 / 42 / 44 cm | High-quality wooden top | AGE GROUP | AVG SIZE | CLASS | Desk: 70-76cm | Chair: 42-46cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Dimensions With Adjustable Height & Materials"",""Desk:"",""Chair:"",""L36 × W36 x H34-44 cm"",""L110 × W40 × H60-75 cm"",""H 60 / 63 / 66 / 69 / 73 / 75 cm"",""H 34 / 36 / 38 / 40 / 42 / 44 cm"",""High-quality wooden top"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 70-76cm"",""Chair: 42-46cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-and-high-classes/lf-0407/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-0407/cover.webp
lf-081,LF081,lf-081-dual-seating-desk-adjustable,Dual Seating Desk (Adjustable),Middle & High Classes,15990,details: Dimensions & Materials | Desk: | L120 × W42 × H64-79 cm | H 64 / 67 / 70 / 73 / 76 / 79 cm | High-quality wooden top Plastic | Chair: | L79 × W43 × H45 cm | High-quality Plastic | AGE GROUP | CLASS | AVG SIZE | Desk: 70-76cm | Chair: 42-46cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L120 × W42 × H64-79 cm"",""H 64 / 67 / 70 / 73 / 76 / 79 cm"",""High-quality wooden top Plastic"",""Chair:"",""L79 × W43 × H45 cm"",""High-quality Plastic"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 70-76cm"",""Chair: 42-46cm""]}",/catalogue/middle-and-high-classes/lf-081/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-081/cover.webp
lf-082,LF082,lf-082-single-seater-desk-adjustable,Single Seater Desk (Adjustable),Middle & High Classes,8990,details: Dimensions & Materials | Desk: | L60 × W42 × H64-79 cm | H 64 / 67 / 70 / 73 / 76 / 79 cm | High-quality wooden top Plastic | Chair: | L79 × W43 × H45 cm | High-quality Plastic | AGE GROUP | AVG SIZE | CLASS | Desk: 70-76cm | Chair: 42-46cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Dimensions & Materials"",""Desk:"",""L60 × W42 × H64-79 cm"",""H 64 / 67 / 70 / 73 / 76 / 79 cm"",""High-quality wooden top Plastic"",""Chair:"",""L79 × W43 × H45 cm"",""High-quality Plastic"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 70-76cm"",""Chair: 42-46cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-and-high-classes/lf-082/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-082/cover.webp
lf-029,LF029,lf-029-pentagon-study-desk,Pentagon Study Desk,Middle & High Classes,7990,details: Dimensions & Materials | Desk: | L60 × W40 × H76 cm | High-quality wooden top | Chair: | L38 × W40 × H76 cm | High-quality Plastic seat and backrest | AGE GROUP | AVG SIZE | CLASS | Desk: 75-76cm | Chair: 44-46cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Dimensions & Materials"",""Desk:"",""L60 × W40 × H76 cm"",""High-quality wooden top"",""Chair:"",""L38 × W40 × H76 cm"",""High-quality Plastic seat and backrest"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 75-76cm"",""Chair: 44-46cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-and-high-classes/lf-029/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-029/cover.webp
lf-028,LF028,lf-028-single-seater-desk,Single Seater Desk,Middle & High Classes,7990,details: Dimensions & Materials | Desk: | L46 × W60 × H63-78 cm | H 63 / 66 / 69 / 72 / 75 / 78 cm | High-quality Plastic top & metal frame | Chair: | L79 × W43 × H45 cm | High-quality Plastic | AGE GROUP | CLASS | AVG SIZE | Desk: 70-76cm | Chair: 42-46cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Dimensions & Materials"",""Desk:"",""L46 × W60 × H63-78 cm"",""H 63 / 66 / 69 / 72 / 75 / 78 cm"",""High-quality Plastic top & metal frame"",""Chair:"",""L79 × W43 × H45 cm"",""High-quality Plastic"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 70-76cm"",""Chair: 42-46cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-and-high-classes/lf-028/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-028/cover.webp
lf-0331,LF0331,lf-0331-single-seater-desk-adjustable,Single Seater Desk (Adjustable),Middle & High Classes,6490,details: Dimensions & Materials | Desk: | L60 × W40 × H60-75 cm | H 60 / 63 / 66 / 69 / 72 / 75 cm | High-quality wooden top & metal frame | Chair: | L38 × W40 × H334-44 cm | H 34 / 36 / 38 / 40 / 42 / 44 cm | High-quality wooden & metal frame | AGE GROUP | AVG SIZE | CLASS | Desk: 70-76cm | Chair: 42-46cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L60 × W40 × H60-75 cm"",""H 60 / 63 / 66 / 69 / 72 / 75 cm"",""High-quality wooden top & metal frame"",""Chair:"",""L38 × W40 × H334-44 cm"",""H 34 / 36 / 38 / 40 / 42 / 44 cm"",""High-quality wooden & metal frame"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 70-76cm"",""Chair: 42-46cm""]}",/catalogue/middle-and-high-classes/lf-0331/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-0331/cover.webp
lf-035,LF035,lf-035-dual-seater-desk,Dual Seater Desk,Middle Classes,16990,details: with Wire Book Rack + Cantilever Frame | Dimensions & Materials | Desk: | L120 × W45 × H73 cm | High-quality wooden top & metal frame | Chair: | L79 × W43 × H45 cm | High-quality Plastic | AGE GROUP | AVG SIZE | CLASS | Desk: 70-74cm | Chair: 42-45cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""with Wire Book Rack + Cantilever Frame"",""Dimensions & Materials"",""Desk:"",""L120 × W45 × H73 cm"",""High-quality wooden top & metal frame"",""Chair:"",""L79 × W43 × H45 cm"",""High-quality Plastic"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 70-74cm"",""Chair: 42-45cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-classes/lf-035/cover.jpg,/catalogue-webp/middle-classes/lf-035/cover.webp
lf-025,LF025,lf-025-single-seater-desk,Single Seater Desk,Middle Classes,8990,details: Dimensions & Materials | Desk: | L60 × W45× H73 cm | High-quality wooden top & metal frame | Chair: | L79 × W43 × H45 cm | High-quality Plastic | AGE GROUP | AVG SIZE | CLASS | Desk: 70-74cm | Chair: 42-45cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Dimensions & Materials"",""Desk:"",""L60 × W45× H73 cm"",""High-quality wooden top & metal frame"",""Chair:"",""L79 × W43 × H45 cm"",""High-quality Plastic"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 70-74cm"",""Chair: 42-45cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-classes/lf-025/cover.jpg,/catalogue-webp/middle-classes/lf-025/cover.webp
lf-155,LF155,lf-155-dual-seating-desk-adjustable,Dual Seating Desk (Adjustable),Primary Classes,9490,details: Dimensions & Materials | Desk: | L90 × W38 × H55-70 cm | H 55 / 57 / 60 / 63 / 70 cm | High-quality Plastic top & metal frame | Chair: | L70 × W41 × H35 cm | High-quality Plastic | AGE GROUP | AVG SIZE | CLASS | Desk: 58-70cm | Chair: 34-40cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L90 × W38 × H55-70 cm"",""H 55 / 57 / 60 / 63 / 70 cm"",""High-quality Plastic top & metal frame"",""Chair:"",""L70 × W41 × H35 cm"",""High-quality Plastic"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 58-70cm"",""Chair: 34-40cm""]}",/catalogue/primary-classes/lf-155/cover.jpg,/catalogue-webp/primary-classes/lf-155/cover.webp
lf-157,LF157,lf-157-dual-seater-desk,Dual Seater Desk,Primary Classes,7490,details: Dimensions & Materials | Desk: | L96 × W36 × H61 cm | High-quality plastic | Chair: | L70 × W41 × H35 cm | High-quality Plastic | AGE GROUP | CLASS | AVG SIZE | Desk: 58-70cm | Chair: 34-40cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L96 × W36 × H61 cm"",""High-quality plastic"",""Chair:"",""L70 × W41 × H35 cm"",""High-quality Plastic"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 58-70cm"",""Chair: 34-40cm""]}",/catalogue/primary-classes/lf-157/cover.jpg,/catalogue-webp/primary-classes/lf-157/cover.webp
lf-158,LF158,lf-158-dual-seating-desk-adjustable,Dual Seating Desk (Adjustable),Primary Classes,,details: Dimensions & Materials | Desk: | L95 × W47 × H51-63 cm | H 51 / 54 / 57 / 60 / 63 cm | High-quality plastic top & metal frame | Chair: | L70 × W41 × H35 cm | High-quality Plastic | AGE GROUP | AVG SIZE | CLASS | Desk: 58-70cm | Chair: 34-40cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Dimensions & Materials"",""Desk:"",""L95 × W47 × H51-63 cm"",""H 51 / 54 / 57 / 60 / 63 cm"",""High-quality plastic top & metal frame"",""Chair:"",""L70 × W41 × H35 cm"",""High-quality Plastic"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 58-70cm"",""Chair: 34-40cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/primary-classes/lf-158/cover.jpg,/catalogue-webp/primary-classes/lf-158/cover.webp
lf-159,LF159,lf-159-dual-seating-desk-adjustable,Dual Seating Desk (Adjustable),Primary Classes,11990,details: Dimensions & Materials | Desk: | L120 × W42 × H68-80 cm | H 68 / 71 / 74 / 76 / 80 cm | High-quality Plastic top & metal frame | Chair: | L70 × W41 × H35 cm | High-quality Plastic | AGE GROUP | AVG SIZE | CLASS | Desk: 58-70cm | Chair: 34-40cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L120 × W42 × H68-80 cm"",""H 68 / 71 / 74 / 76 / 80 cm"",""High-quality Plastic top & metal frame"",""Chair:"",""L70 × W41 × H35 cm"",""High-quality Plastic"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 58-70cm"",""Chair: 34-40cm""]}",/catalogue/primary-classes/lf-159/cover.jpg,/catalogue-webp/primary-classes/lf-159/cover.webp
lf-0504,LF0504,lf-0504-rectangular-dual-seater-desk,Rectangular Dual-Seater Desk,Pre Classes,8990,details: with Twin metal Storage Compartments | Dimensions & Materials | Desk: | L90 × W38 × H55 cm | High-quality wooden top | Chair: | L27 × W27 × H30 cm | AGE GROUP | AVG SIZE | CLASS | Desk: 44-46cm | Chair: 24-33cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""with Twin metal Storage Compartments"",""Dimensions & Materials"",""Desk:"",""L90 × W38 × H55 cm"",""High-quality wooden top"",""Chair:"",""L27 × W27 × H30 cm"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 44-46cm"",""Chair: 24-33cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/pre-classes/lf-0504/cover.jpg,/catalogue-webp/pre-classes/lf-0504/cover.webp
lf-0512,LF0512,lf-0512-trapezium-shaped-desk,Trapezium Shaped Desk,Pre Classes,4290,details: with Wire Storage & Cantilever Frame | Dimensions & Materials | Desk: | L58 × W30 × H58 cm | High-quality wooden top | Chair: | L30 × W30 × H34 cm | AGE GROUP | CLASS | AVG SIZE | Desk: 44-46cm | Chair: 24-33cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""with Wire Storage & Cantilever Frame"",""Dimensions & Materials"",""Desk:"",""L58 × W30 × H58 cm"",""High-quality wooden top"",""Chair:"",""L30 × W30 × H34 cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 44-46cm"",""Chair: 24-33cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/pre-classes/lf-0512/cover.jpg,/catalogue-webp/pre-classes/lf-0512/cover.webp
lf-0513,LF0513,lf-0513-desk-and-chair-adjustable,Desk & Chair (Adjustable),Pre Classes,7990,details: Set of 1 Table & 2 Chairs | Dimensions & Materials | Desk: | L60 × W60 × H48-60 cm | High-quality wooden top | Chair: | L30 × W28 × H53-56 cm | High-quality Plastic seat and backrest | AGE GROUP | CLASS | AVG SIZE | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Set of 1 Table & 2 Chairs"",""Dimensions & Materials"",""Desk:"",""L60 × W60 × H48-60 cm"",""High-quality wooden top"",""Chair:"",""L30 × W28 × H53-56 cm"",""High-quality Plastic seat and backrest"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-0513/cover.jpg,/catalogue-webp/pre-classes/lf-0513/cover.webp
lf-311,LF311,lf-311-moon-table-adjustable,Moon Table (Adjustable),Pre Classes,9990,details: Dimensions & Materials | Desk: | L180 × W90cm | H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm | AGE GROUP | AVG SIZE | CLASS | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L180 × W90cm"",""H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-311/cover.jpg,/catalogue-webp/pre-classes/lf-311/cover.webp
lf-314,LF314,lf-314-round-table-adjustable,Round Table (Adjustable),Pre Classes,9990,details: Dimensions & Materials | Desk: | D110 cm | H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm | AGE GROUP | CLASS | AVG SIZE | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""D110 cm"",""H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-314/cover.jpg,/catalogue-webp/pre-classes/lf-314/cover.webp
lf-315,LF315,lf-315-rectangle-table-adjustable,Rectangle Table (Adjustable),Pre Classes,7990,details: Dimensions & Materials | Desk: | L110 × W100 × H63 cm | H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm | AGE GROUP | AVG SIZE | CLASS | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L110 × W100 × H63 cm"",""H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-315/cover.jpg,/catalogue-webp/pre-classes/lf-315/cover.webp
lf-211,LF211,lf-211-moon-table-adjustable,Moon Table (Adjustable),Pre Classes,9990,details: Dimensions & Materials | Desk: | L180 × W90cm | H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm | AGE GROUP | CLASS | AVG SIZE | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L180 × W90cm"",""H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-211/cover.jpg,/catalogue-webp/pre-classes/lf-211/cover.webp
lf-214,LF214,lf-214-round-table-adjustable,Round Table (Adjustable),Pre Classes,9990,details: Dimensions & Materials | Desk: | D110 cm | H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm | AGE GROUP | AVG SIZE | CLASS | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""D110 cm"",""H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-214/cover.jpg,/catalogue-webp/pre-classes/lf-214/cover.webp
lf-215,LF215,lf-215-rectangle-table-adjustable,Rectangle Table (Adjustable),Pre Classes,7990,details: Dimensions & Materials | Desk: | L112 × W60 x H58cm | H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm | AGE GROUP | CLASS | AVG SIZE | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L112 × W60 x H58cm"",""H 40 / 43 / 47 / 49 / 52 / 55 / 58 / 60 / 63 cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-215/cover.jpg,/catalogue-webp/pre-classes/lf-215/cover.webp
lf-110,LF110,lf-110-rectangle-table,Rectangle Table,Pre Classes,7990,details: Dimensions & Materials | Desk: | L155 × W76 x H48cm | AGE GROUP | AVG SIZE | CLASS | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L155 × W76 x H48cm"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-110/cover.jpg,/catalogue-webp/pre-classes/lf-110/cover.webp
lf-111,LF111,lf-111-moon-table,Moon Table,Pre Classes,6990,details: Dimensions & Materials | Desk: | L155 × W84 × H51 cm | AGE GROUP | AVG SIZE | CLASS | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L155 × W84 × H51 cm"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-111/cover.jpg,/catalogue-webp/pre-classes/lf-111/cover.webp
lf-113,LF113,lf-113-square-table,Square Table,Pre Classes,3990,details: Dimensions & Materials | Desk: | L61 × W61 x H51cm | AGE GROUP | CLASS | AVG SIZE | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L61 × W61 x H51cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-113/cover.jpg,/catalogue-webp/pre-classes/lf-113/cover.webp
lf-114,LF114,lf-114-round-table,Round Table,Pre Classes,6990,details: Dimensions & Materials | Desk: | D115 × H51 cm | AGE GROUP | AVG SIZE | CLASS | Desk: 44-46cm | Chair: 24-33cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""D115 × H51 cm"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 44-46cm"",""Chair: 24-33cm""]}",/catalogue/pre-classes/lf-114/cover.jpg,/catalogue-webp/pre-classes/lf-114/cover.webp
